1673459509, 0B200081, 15001, 3
1673459509, 0B200081, 1101, 3
1673459509, 0B200080, 13501, 3
1673459509, 0B200080, 4801, 3
1673459509, 0B200082, 10, 1
1673459509, 0B200087, 200, 2
1673459510, 0B200081, 15001, 3
1673459510, 0B200081, 1101, 3
1673459510, 0B200080, 13501, 3
1673459510, 0B200080, 4a01, 3
1673459510, 0B200082, 10, 1
1673459510, 0B200087, 200, 2
1673459511, 0B200081, 15001, 3
1673459511, 0B200081, 1101, 3
1673459511, 0B200080, 13501, 3
1673459511, 0B200080, 4501, 3
1673459511, 0B200082, 10, 1
1673459511, 0B200087, 200, 2
1673459512, 0B200081, 15001, 3
1673459512, 0B200081, 1101, 3
1673459512, 0B200080, 13301, 3
1673459512, 0B200080, 4801, 3
1673459512, 0B200082, 10, 1
1673459512, 0B200087, 200, 2
1673459513, 0B200081, 15001, 3
1673459513, 0B200081, 1101, 3
1673459513, 0B200080, 13701, 3
1673459513, 0B200080, 4601, 3
1673459513, 0B200082, 10, 1
1673459513, 0B200087, 200, 2
1673459514, 0B200081, 15001, 3
1673459514, 0B200081, 1101, 3
1673459514, 0B200080, 13501, 3
1673459514, 0B200080, 4701, 3
1673459514, 0B200082, 10, 1
1673459514, 0B200087, 200, 2
1673459515, 0B200081, 15001, 3
1673459515, 0B200081, 1101, 3
1673459515, 0B200080, 13601, 3
1673459515, 0B200080, 4901, 3
1673459515, 0B200082, 10, 1
1673459515, 0B200087, 200, 2
1673459516, 0B200081, 15001, 3
1673459516, 0B200081, 1101, 3
1673459516, 0B200080, 13601, 3
1673459516, 0B200080, 4801, 3
1673459516, 0B200082, 10, 1
1673459516, 0B200087, 200, 2
1673459517, 0B200081, 15001, 3
1673459517, 0B200081, 1101, 3
1673459517, 0B200080, 13601, 3
1673459517, 0B200080, 4a01, 3
1673459517, 0B200082, 10, 1
1673459517, 0B200087, 200, 2
1673459518, 0B200081, 15001, 3
1673459518, 0B200081, 1101, 3
1673459518, 0B200080, 13501, 3
1673459518, 0B200080, 4801, 3
1673459518, 0B200082, 10, 1
1673459518, 0B200087, 200, 2
1673459519, 0B200081, 15001, 3
1673459519, 0B200081, 1101, 3
1673459519, 0B200080, 13501, 3
1673459519, 0B200080, 4701, 3
1673459519, 0B200082, 10, 1
1673459519, 0B200087, 200, 2
1673459520, 0B200081, 15001, 3
1673459520, 0B200081, 1101, 3
1673459520, 0B200080, 13501, 3
1673459520, 0B200080, 4701, 3
1673459520, 0B200082, 10, 1
1673459520, 0B200087, 200, 2
1673459521, 0B200081, 15001, 3
1673459521, 0B200081, 1101, 3
1673459521, 0B200080, 13601, 3
1673459521, 0B200080, 4801, 3
1673459521, 0B200082, 10, 1
1673459521, 0B200087, 200, 2
1673459522, 0B200081, 15001, 3
1673459522, 0B200081, 1101, 3
1673459522, 0B200080, 13601, 3
1673459522, 0B200080, 4601, 3
1673459522, 0B200082, 10, 1
1673459522, 0B200087, 200, 2
1673459523, 0B200081, 15001, 3
1673459523, 0B200081, 1101, 3
1673459523, 0B200080, 13501, 3
1673459523, 0B200080, 4701, 3
1673459523, 0B200082, 10, 1
1673459523, 0B200087, 200, 2
1673459523, 0A20FF00, 0, 0
1673459523, 0A41FF00, 0, 0
1673459523, 0B200000, ff00ff000101ac, 7
1673459523, 0A53FF00, 0, 0
1673459523, 0B020000, ff00ff000101ac, 7
1673459523, 0A43FF00, 0, 0
1673459523, 0B020000, ff00ff000101ac, 7
1673459523, 0A10FF00, 0, 0
1673459523, 0B020000, ff00ff000101ac, 7
1673459523, 0A31FF00, 0, 0
1673459523, 0B020000, ff00ff000101ac, 7
1673459523, 0B020000, ff00ff000101ac, 7
1673459523, 0B310000, d0106000101ac, 7
1673459523, 0B530000, b006b000101ac, 7
1673459523, 0A310080, 0, 0
1673459523, 0B530200, b0061000101ac, 7
1673459523, 0A310090, 0, 0
1673459523, 0B310080, 64, 2
1673459523, 0B530000, b006c000101ac, 7
1673459523, 0B310090, ffffffff, 4
1673459523, 0B530000, b006d000101ac, 7
1673459523, 0A310080, 0, 0
1673459523, 0A310090, 0, 0
1673459523, 0B310080, 64, 2
1673459523, 0B310090, ffffffff, 4
1673459524, 0B200081, 15001, 3
1673459524, 0B200081, 1101, 3
1673459524, 0B200080, 13901, 3
1673459524, 0B200080, 4701, 3
1673459524, 0B200082, 10, 1
1673459524, 0B200087, 200, 2
1673459525, 0B200081, 15001, 3
1673459525, 0B200081, 1101, 3
1673459525, 0B200080, 13501, 3
1673459525, 0B200080, 4801, 3
1673459525, 0B200082, 10, 1
1673459525, 0B200087, 200, 2
1673459526, 0B200081, 15001, 3
1673459526, 0B200081, 1101, 3
1673459526, 0B200080, 13301, 3
1673459526, 0B200080, 4801, 3
1673459526, 0B200082, 10, 1
1673459526, 0B200087, 200, 2
1673459526, 0A200081, 15b01, 3
1673459527, 0B200081, 15b01, 3
1673459527, 0B200081, 1101, 3
1673459527, 0B200080, 13701, 3
1673459527, 0B200080, 4601, 3
1673459527, 0B200082, 10, 1
1673459527, 0B200087, 200, 2
1673459528, 0B200081, 15b01, 3
1673459528, 0B200081, 1101, 3
1673459528, 0B200080, 13601, 3
1673459528, 0B200080, 4701, 3
1673459528, 0B200082, 10, 1
1673459528, 0B200087, 200, 2
1673459529, 0B200081, 15b01, 3
1673459529, 0B200081, 1101, 3
1673459529, 0B200080, 13501, 3
1673459529, 0B200080, 4701, 3
1673459529, 0B200082, 10, 1
1673459529, 0B200087, 200, 2
1673459529, 0A20FF00, 0, 0
1673459529, 0A41FF00, 0, 0
1673459529, 0B200000, ff00ff000101ac, 7
1673459529, 0A53FF00, 0, 0
1673459529, 0B020000, ff00ff000101ac, 7
1673459529, 0A43FF00, 0, 0
1673459529, 0B020000, ff00ff000101ac, 7
1673459529, 0A10FF00, 0, 0
1673459529, 0B020000, ff00ff000101ac, 7
1673459529, 0A31FF00, 0, 0
1673459529, 0B020000, ff00ff000101ac, 7
1673459529, 0B020000, ff00ff000101ac, 7
1673459529, 0B310000, d0106000101ac, 7
1673459529, 0B530000, b006b000101ac, 7
1673459529, 0A310080, 0, 0
1673459529, 0B530200, b0061000101ac, 7
1673459529, 0A310090, 0, 0
1673459529, 0B310080, 64, 2
1673459529, 0B530000, b006c000101ac, 7
1673459529, 0B310090, ffffffff, 4
1673459529, 0B530000, b006d000101ac, 7
1673459530, 0B200081, 15b01, 3
1673459530, 0B200081, 1101, 3
1673459530, 0B200080, 13501, 3
1673459530, 0B200080, 4801, 3
1673459530, 0B200082, 10, 1
1673459530, 0B200087, 200, 2
1673459530, 0A200081, 15201, 3
1673459531, 0B200081, 15201, 3
1673459531, 0B200081, 1101, 3
1673459531, 0B200080, 13601, 3
1673459531, 0B200080, 4801, 3
1673459531, 0B200082, 10, 1
1673459531, 0B200087, 200, 2
1673459532, 0B200081, 15201, 3
1673459532, 0B200081, 1101, 3
1673459532, 0B200080, 13601, 3
1673459532, 0B200080, 4801, 3
1673459532, 0B200082, 10, 1
1673459532, 0B200087, 200, 2
1673459533, 0B200081, 15201, 3
1673459533, 0B200081, 1101, 3
1673459533, 0B200080, 13601, 3
1673459533, 0B200080, 4801, 3
1673459533, 0B200082, 10, 1
1673459533, 0B200087, 200, 2
1673459534, 0B200081, 15201, 3
1673459534, 0B200081, 1101, 3
1673459534, 0B200080, 13501, 3
1673459534, 0B200080, 4701, 3
1673459534, 0B200082, 10, 1
1673459534, 0B200087, 200, 2
1673459535, 0B200081, 15201, 3
1673459535, 0B200081, 1101, 3
1673459535, 0B200080, 13501, 3
1673459535, 0B200080, 4801, 3
1673459535, 0B200082, 10, 1
1673459535, 0B200087, 200, 2
1673459536, 0B200081, 15201, 3
1673459536, 0B200081, 1101, 3
1673459536, 0B200080, 13601, 3
1673459536, 0B200080, 4701, 3
1673459536, 0B200082, 10, 1
1673459536, 0B200087, 200, 2
1673459537, 0B200081, 15201, 3
1673459537, 0B200081, 1101, 3
1673459537, 0B200080, 13601, 3
1673459537, 0B200080, 4701, 3
1673459537, 0B200082, 10, 1
1673459537, 0B200087, 200, 2
1673459537, 0A200081, 14001, 3
1673459538, 0B200081, 14001, 3
1673459538, 0B200081, 1101, 3
1673459538, 0B200080, 13601, 3
1673459538, 0B200080, 4801, 3
1673459538, 0B200082, 10, 1
1673459538, 0B200087, 200, 2
1673459539, 0A200081, 15b01, 3
1673459539, 0B200081, 14001, 3
1673459539, 0B200081, 1101, 3
1673459539, 0B200080, 13601, 3
1673459539, 0B200080, 4901, 3
1673459539, 0B200082, 10, 1
1673459539, 0B200087, 200, 2
1673459540, 0A200081, 15b01, 3
1673459540, 0B200081, 15b01, 3
1673459540, 0B200081, 1101, 3
1673459540, 0B200080, 13801, 3
1673459540, 0B200080, 4801, 3
1673459540, 0B200082, 10, 1
1673459540, 0B200087, 200, 2
1673459541, 0B200081, 15b01, 3
1673459541, 0B200081, 1101, 3
1673459541, 0B200080, 13701, 3
1673459541, 0B200080, 4801, 3
1673459541, 0B200082, 10, 1
1673459541, 0B200087, 200, 2
1673459542, 0B200081, 15b01, 3
1673459542, 0B200081, 1101, 3
1673459542, 0B200080, 13601, 3
1673459542, 0B200080, 4801, 3
1673459542, 0B200082, 10, 1
1673459542, 0B200087, 200, 2
1673459543, 0B200081, 15b01, 3
1673459543, 0B200081, 1101, 3
1673459543, 0B200080, 13701, 3
1673459543, 0B200080, 4801, 3
1673459543, 0B200082, 10, 1
1673459543, 0B200087, 200, 2
1673459543, 0A200081, 16d01, 3
1673459544, 0B200081, 16d01, 3
1673459544, 0B200081, 1101, 3
1673459544, 0B200080, 13701, 3
1673459544, 0B200080, 4801, 3
1673459544, 0B200082, 10, 1
1673459544, 0B200087, 200, 2
1673459545, 0A200081, 12501, 3
1673459545, 0B200081, 16d01, 3
1673459545, 0B200081, 1101, 3
1673459545, 0B200080, 13601, 3
1673459545, 0B200080, 4901, 3
1673459545, 0B200082, 10, 1
1673459545, 0B200087, 200, 2
1673459546, 0A200081, 11301, 3
1673459546, 0B200081, 12501, 3
1673459546, 0B200081, 1101, 3
1673459546, 0B200080, 13601, 3
1673459546, 0B200080, 4801, 3
1673459546, 0B200082, 10, 1
1673459546, 0B200087, 200, 2
1673459547, 0A200081, 10201, 3
1673459547, 0B200081, 11301, 3
1673459547, 0B200081, 1101, 3
1673459547, 0B200080, 13601, 3
1673459547, 0B200080, 4901, 3
1673459547, 0B200082, 10, 1
1673459547, 0B200087, 200, 2
1673459548, 0B200081, 10201, 3
1673459548, 0B200081, 1101, 3
1673459548, 0B200080, 13601, 3
1673459548, 0B200080, 4701, 3
1673459548, 0B200082, 10, 1
1673459548, 0B200087, 200, 2
1673459548, 0A200081, 14a01, 3
1673459549, 0B200081, 14a01, 3
1673459549, 0B200081, 1101, 3
1673459549, 0B200080, 13701, 3
1673459549, 0B200080, 4701, 3
1673459549, 0B200082, 10, 1
1673459549, 0B200087, 200, 2
1673459550, 0A200081, 16301, 3
1673459550, 0B200081, 14a01, 3
1673459550, 0B200081, 1101, 3
1673459550, 0B200080, 13601, 3
1673459550, 0B200080, 4801, 3
1673459550, 0B200082, 10, 1
1673459550, 0B200087, 200, 2
1673459551, 0B200081, 16301, 3
1673459551, 0B200081, 1101, 3
1673459551, 0B200080, 13601, 3
1673459551, 0B200080, 4901, 3
1673459551, 0B200082, 10, 1
1673459551, 0B200087, 200, 2
1673459552, 0B200081, 16301, 3
1673459552, 0B200081, 1101, 3
1673459552, 0B200080, 13401, 3
1673459552, 0B200080, 4901, 3
1673459552, 0B200082, 10, 1
1673459552, 0B200087, 200, 2
1673459553, 0B200081, 16301, 3
1673459553, 0B200081, 1101, 3
1673459553, 0B200080, 13501, 3
1673459553, 0B200080, 4901, 3
1673459553, 0B200082, 10, 1
1673459553, 0B200087, 200, 2
1673459554, 0B200081, 16301, 3
1673459554, 0B200081, 1101, 3
1673459554, 0B200080, 13a01, 3
1673459554, 0B200080, 4901, 3
1673459554, 0B200082, 10, 1
1673459554, 0B200087, 200, 2
1673459555, 0B200081, 16301, 3
1673459555, 0B200081, 1101, 3
1673459555, 0B200080, 13601, 3
1673459555, 0B200080, 4901, 3
1673459555, 0B200082, 10, 1
1673459555, 0B200087, 200, 2
1673459556, 0B200081, 16301, 3
1673459556, 0B200081, 1101, 3
1673459556, 0B200080, 13501, 3
1673459556, 0B200080, 4701, 3
1673459556, 0B200082, 10, 1
1673459556, 0B200087, 200, 2
1673459557, 0B200081, 16301, 3
1673459557, 0B200081, 1101, 3
1673459557, 0B200080, 13601, 3
1673459557, 0B200080, 4701, 3
1673459557, 0B200082, 10, 1
1673459557, 0B200087, 200, 2
1673459558, 0B200081, 16301, 3
1673459558, 0B200081, 1101, 3
1673459558, 0B200080, 13701, 3
1673459558, 0B200080, 4801, 3
1673459558, 0B200082, 10, 1
1673459558, 0B200087, 200, 2
1673459559, 0B200081, 16301, 3
1673459559, 0B200081, 1101, 3
1673459559, 0B200080, 13701, 3
1673459559, 0B200080, 4801, 3
1673459559, 0B200082, 10, 1
1673459559, 0B200087, 200, 2
1673459560, 0B200081, 16301, 3
1673459560, 0B200081, 1101, 3
1673459560, 0B200080, 13701, 3
1673459560, 0B200080, 4801, 3
1673459560, 0B200082, 10, 1
1673459560, 0B200087, 200, 2
1673459561, 0B200081, 16301, 3
1673459561, 0B200081, 1101, 3
1673459561, 0B200080, 13801, 3
1673459561, 0B200080, 4901, 3
1673459561, 0B200082, 10, 1
1673459561, 0B200087, 200, 2
1673459562, 0B200081, 16301, 3
1673459562, 0B200081, 1101, 3
1673459562, 0B200080, 13801, 3
1673459562, 0B200080, 4701, 3
1673459562, 0B200082, 10, 1
1673459562, 0B200087, 200, 2
1673459563, 0B200081, 16301, 3
1673459563, 0B200081, 1101, 3
1673459563, 0B200080, 13701, 3
1673459563, 0B200080, 4c01, 3
1673459563, 0B200082, 10, 1
1673459563, 0B200087, 200, 2
1673459564, 0B200081, 16301, 3
1673459564, 0B200081, 1101, 3
1673459564, 0B200080, 13801, 3
1673459564, 0B200080, 4801, 3
1673459564, 0B200082, 10, 1
1673459564, 0B200087, 200, 2
1673459565, 0B200081, 16301, 3
1673459565, 0B200081, 1101, 3
1673459565, 0B200080, 13701, 3
1673459565, 0B200080, 4801, 3
1673459565, 0B200082, 10, 1
1673459565, 0B200087, 200, 2
1673459566, 0B200081, 16301, 3
1673459566, 0B200081, 1101, 3
1673459566, 0B200080, 13801, 3
1673459566, 0B200080, 4901, 3
1673459566, 0B200082, 10, 1
1673459566, 0B200087, 200, 2
1673459567, 0B200081, 16301, 3
1673459567, 0B200081, 1101, 3
1673459567, 0B200080, 13601, 3
1673459567, 0B200080, 4701, 3
1673459567, 0B200082, 10, 1
1673459567, 0B200087, 200, 2
1673459568, 0B200081, 16301, 3
1673459568, 0B200081, 1101, 3
1673459568, 0B200080, 13901, 3
1673459568, 0B200080, 4701, 3
1673459568, 0B200082, 10, 1
1673459568, 0B200087, 200, 2
1673459569, 0B200081, 16301, 3
1673459569, 0B200081, 1101, 3
1673459569, 0B200080, 13701, 3
1673459569, 0B200080, 4901, 3
1673459569, 0B200082, 10, 1
1673459569, 0B200087, 200, 2
1673459570, 0B200081, 16301, 3
1673459570, 0B200081, 1101, 3
1673459570, 0B200080, 13701, 3
1673459570, 0B200080, 4701, 3
1673459570, 0B200082, 10, 1
1673459570, 0B200087, 200, 2
1673459571, 0B200081, 16301, 3
1673459571, 0B200081, 1101, 3
1673459571, 0B200080, 13501, 3
1673459571, 0B200080, 4701, 3
1673459571, 0B200082, 10, 1
1673459571, 0B200087, 200, 2
1673459572, 0B200081, 16301, 3
1673459572, 0B200081, 1101, 3
1673459572, 0B200080, 13701, 3
1673459572, 0B200080, 4901, 3
1673459572, 0B200082, 10, 1
1673459572, 0B200087, 200, 2
1673459573, 0B200081, 16301, 3
1673459573, 0B200081, 1101, 3
1673459573, 0B200080, 13601, 3
1673459573, 0B200080, 4801, 3
1673459573, 0B200082, 10, 1
1673459573, 0B200087, 200, 2
1673459574, 0B200081, 16301, 3
1673459574, 0B200081, 1101, 3
1673459574, 0B200080, 13701, 3
1673459574, 0B200080, 4a01, 3
1673459574, 0B200082, 10, 1
1673459574, 0B200087, 200, 2
1673459575, 0B200081, 16301, 3
1673459575, 0B200081, 1101, 3
1673459575, 0B200080, 13601, 3
1673459575, 0B200080, 4801, 3
1673459575, 0B200082, 10, 1
1673459575, 0B200087, 200, 2
1673459576, 0B200081, 16301, 3
1673459576, 0B200081, 1101, 3
1673459576, 0B200080, 13801, 3
1673459576, 0B200080, 4701, 3
1673459576, 0B200082, 10, 1
1673459576, 0B200087, 200, 2
1673459577, 0B200081, 16301, 3
1673459577, 0B200081, 1101, 3
1673459577, 0B200080, 13701, 3
1673459577, 0B200080, 4a01, 3
1673459577, 0B200082, 10, 1
1673459577, 0B200087, 200, 2
1673459578, 0B200081, 16301, 3
1673459578, 0B200081, 1101, 3
1673459578, 0B200080, 13801, 3
1673459578, 0B200080, 4a01, 3
1673459578, 0B200082, 10, 1
1673459578, 0B200087, 200, 2
1673459579, 0B200081, 16301, 3
1673459579, 0B200081, 1101, 3
1673459579, 0B200080, 13901, 3
1673459579, 0B200080, 4901, 3
1673459579, 0B200082, 10, 1
1673459579, 0B200087, 200, 2
1673459580, 0B200081, 16301, 3
1673459580, 0B200081, 1101, 3
1673459580, 0B200080, 13a01, 3
1673459580, 0B200080, 4901, 3
1673459580, 0B200082, 10, 1
1673459580, 0B200087, 200, 2
1673459581, 0B200081, 16301, 3
1673459581, 0B200081, 1101, 3
1673459581, 0B200080, 13701, 3
1673459581, 0B200080, 4701, 3
1673459581, 0B200082, 10, 1
1673459581, 0B200087, 200, 2
1673459582, 0B200081, 16301, 3
1673459582, 0B200081, 1101, 3
1673459582, 0B200080, 13701, 3
1673459582, 0B200080, 4901, 3
1673459582, 0B200082, 10, 1
1673459582, 0B200087, 200, 2
1673459583, 0B200081, 16301, 3
1673459583, 0B200081, 1101, 3
1673459583, 0B200080, 13801, 3
1673459583, 0B200080, 4901, 3
1673459583, 0B200082, 10, 1
1673459583, 0B200087, 200, 2
1673459583, 0A20FF00, 0, 0
1673459583, 0A41FF00, 0, 0
1673459583, 0B200000, ff00ff000101ac, 7
1673459583, 0A53FF00, 0, 0
1673459583, 0B020000, ff00ff000101ac, 7
1673459583, 0B020000, ff00ff000101ac, 7
1673459583, 0A43FF00, 0, 0
1673459583, 0A10FF00, 0, 0
1673459583, 0B020000, ff00ff000101ac, 7
1673459583, 0A31FF00, 0, 0
1673459583, 0B020000, ff00ff000101ac, 7
1673459583, 0B020000, ff00ff000101ac, 7
1673459583, 0B310000, d0106000101ac, 7
1673459583, 0B530000, b006d000101ac, 7
1673459583, 0A310080, 0, 0
1673459583, 0B530000, b006b000101ac, 7
1673459583, 0A310080, 0, 0
1673459583, 0A310090, 0, 0
1673459583, 0A310090, 0, 0
1673459583, 0B310080, 64, 2
1673459583, 0B310080, 64, 2
1673459583, 0B530200, b0061000101ac, 7
1673459583, 0B310090, ffffffff, 4
1673459583, 0B310090, ffffffff, 4
1673459583, 0B530000, b006c000101ac, 7
1673459584, 0B200081, 16301, 3
1673459584, 0B200081, 1101, 3
1673459584, 0B200080, 13701, 3
1673459584, 0B200080, 4901, 3
1673459584, 0B200082, 10, 1
1673459584, 0B200087, 200, 2
1673459585, 0B200081, 16301, 3
1673459585, 0B200081, 1101, 3
1673459585, 0B200080, 13801, 3
1673459585, 0B200080, 4a01, 3
1673459585, 0B200082, 10, 1
1673459585, 0B200087, 200, 2
1673459586, 0B200081, 16301, 3
1673459586, 0B200081, 1101, 3
1673459586, 0B200080, 13901, 3
1673459586, 0B200080, 4701, 3
1673459586, 0B200082, 10, 1
1673459586, 0B200087, 200, 2
1673459587, 0B200081, 16301, 3
1673459587, 0B200081, 1101, 3
1673459587, 0B200080, 13a01, 3
1673459587, 0B200080, 4901, 3
1673459587, 0B200082, 10, 1
1673459587, 0B200087, 200, 2
1673459588, 0B200081, 16301, 3
1673459588, 0B200081, 1101, 3
1673459588, 0B200080, 13801, 3
1673459588, 0B200080, 4701, 3
1673459588, 0B200082, 10, 1
1673459588, 0B200087, 200, 2
1673459589, 0B200081, 16301, 3
1673459589, 0B200081, 1101, 3
1673459589, 0B200080, 13b01, 3
1673459589, 0B200080, 4901, 3
1673459589, 0B200082, 10, 1
1673459589, 0B200087, 200, 2
1673459589, 0A20FF00, 0, 0
1673459589, 0A41FF00, 0, 0
1673459589, 0B200000, ff00ff000101ac, 7
1673459589, 0A53FF00, 0, 0
1673459589, 0B020000, ff00ff000101ac, 7
1673459589, 0A43FF00, 0, 0
1673459589, 0B020000, ff00ff000101ac, 7
1673459589, 0A10FF00, 0, 0
1673459589, 0B020000, ff00ff000101ac, 7
1673459589, 0A31FF00, 0, 0
1673459589, 0B020000, ff00ff000101ac, 7
1673459589, 0B020000, ff00ff000101ac, 7
1673459589, 0B310000, d0106000101ac, 7
1673459589, 0A310080, 0, 0
1673459589, 0A310090, 0, 0
1673459589, 0B310080, 64, 2
1673459589, 0B310090, ffffffff, 4
1673459589, 0B530000, b006c000101ac, 7
1673459589, 0B530000, b006d000101ac, 7
1673459589, 0B530200, b0061000101ac, 7
1673459589, 0B530000, b006b000101ac, 7
1673459590, 0B200081, 16301, 3
1673459590, 0B200081, 1101, 3
1673459590, 0B200080, 13701, 3
1673459590, 0B200080, 4901, 3
1673459590, 0B200082, 10, 1
1673459590, 0B200087, 200, 2
1673459591, 0B200081, 16301, 3
1673459591, 0B200081, 1101, 3
1673459591, 0B200080, 13701, 3
1673459591, 0B200080, 4801, 3
1673459591, 0B200082, 10, 1
1673459591, 0B200087, 200, 2
1673459592, 0B200081, 16301, 3
1673459592, 0B200081, 1101, 3
1673459592, 0B200080, 13601, 3
1673459592, 0B200080, 4901, 3
1673459592, 0B200082, 10, 1
1673459592, 0B200087, 200, 2
1673459593, 0B200081, 16301, 3
1673459593, 0B200081, 1101, 3
1673459593, 0B200080, 13701, 3
1673459593, 0B200080, 4701, 3
1673459593, 0B200082, 10, 1
1673459593, 0B200087, 200, 2
1673459594, 0B200081, 16301, 3
1673459594, 0B200081, 1101, 3
1673459594, 0B200080, 13701, 3
1673459594, 0B200080, 4801, 3
1673459594, 0B200082, 10, 1
1673459594, 0B200087, 200, 2
1673459595, 0B200081, 16301, 3
1673459595, 0B200081, 1101, 3
1673459595, 0B200080, 13701, 3
1673459595, 0B200080, 4901, 3
1673459595, 0B200082, 10, 1
1673459595, 0B200087, 200, 2
1673459596, 0B200081, 16301, 3
1673459596, 0B200081, 1101, 3
1673459596, 0B200080, 13701, 3
1673459596, 0B200080, 4801, 3
1673459596, 0B200082, 10, 1
1673459596, 0B200087, 200, 2
1673459597, 0B200081, 16301, 3
1673459597, 0B200081, 1101, 3
1673459597, 0B200080, 13801, 3
1673459597, 0B200080, 4801, 3
1673459597, 0B200082, 10, 1
1673459597, 0B200087, 200, 2
1673459598, 0B200081, 16301, 3
1673459598, 0B200081, 1101, 3
1673459598, 0B200080, 13701, 3
1673459598, 0B200080, 4901, 3
1673459598, 0B200082, 10, 1
1673459598, 0B200087, 200, 2
1673459599, 0B200081, 16301, 3
1673459599, 0B200081, 1101, 3
1673459599, 0B200080, 13801, 3
1673459599, 0B200080, 4901, 3
1673459599, 0B200082, 10, 1
1673459599, 0B200087, 200, 2
1673459600, 0B200081, 16301, 3
1673459600, 0B200081, 1101, 3
1673459600, 0B200080, 13701, 3
1673459600, 0B200080, 4901, 3
